project_name,buyer_name,seller_name,package_type,equipment_types,component_types,component_count,lead_time_weeks,manufacturer,cost,answer_date
First Energy DCC Renovation 5th floor & Concourse Level,Structure Tone (NY),Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",3,22,"[""Stulz""]",118500,2025-04-22
Paul Weiss - 1345 AoA Project,Structure Tone (NY),ADE Systems Inc. (New York),"[""Electromagnetic-Interference Filters""]","[""Electronic Air Cleaners""]","[""Electromagnetic-Interference Filters"",""Electronic Air Cleaners""]",1,10,"[""Trion""]",206500,2025-04-22
First Energy DCC Renovation 5th floor & Concourse Level,Structure Tone (NY),Gil Bar Inc (New York),"[""Variable Refrigerant Flow Systems""]","[""Variable Refrigerant Flow Systems""]","[""Variable Refrigerant Flow Systems""]",21,10,"[""Samsung""]",104150,2025-04-22
"Industrious - 1 Columbus Circle, 21st Floor",Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,9,"[""Vertiv""]",38500,2025-04-22
First Energy DCC Renovation 5th floor & Concourse Level,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",4,6,"[""Twin City Fan""]",5720,2025-04-21
Bank of America Office Interior Fit Out ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Single-Duct VAV Terminal Units""]","[""Single-Duct VAV Terminal Units"",""Variable-Air-Volume Terminal Units""]",6,6,"[""Krueger""]",237500,2025-04-21
First Energy DCC Renovation 5th floor & Concourse Level,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Electric Unit Heaters""]","[""Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",1,4,"[""Indeeco""]",1390,2025-04-21
Bank of America Office Interior Fit Out ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Electric Unit Heaters""]","[""Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",1,6,"[""Indeeco""]",14620,2025-04-21
Bank of America Office Interior Fit Out ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,6,"[""Twin City Fan""]",19250,2025-04-21
MIT Lincoln Lab - D-480,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,4,"[""Twin City Fan""]",1450,2025-04-18
Live Nation Comedy Clubs,BCCI Construction,Trane (Long Island City),"[""Variable Refrigerant Flow Systems""]","[""Air-Source Unitary Heat Pumps"",""Fan Coil Units"",""VRF Indoor Units - Ducted"",""VRF Outdoor Units""]","[""Air-Source Unitary Heat Pumps"",""Fan Coil Units"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Outdoor Units""]",12,5,"[""Trane-Mitsubishi""]",125000,2025-04-18
MIT Lincoln Lab - D-480,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Humidifiers""]","[""Humidifiers""]","[""Humidifiers""]",1,6,"[""Dri-Steem""]",7690,2025-04-18
Ronald McDonald House,Structure Tone (NY),VTS Group,"[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central AHUs Modular""]","[""Indoor Central AHUs Modular"",""Indoor Central-Station Air-Handling Units""]",1,13,"[""VTS""]",26200,2025-04-18
Live Nation Comedy Clubs,BCCI Construction,Trane (Long Island City),"[""Split System Air Conditioners""]","[""Indoor Central AHUs Modular"",""Split System Air Conditioners""]","[""Indoor Central AHUs Modular"",""Split System Air Conditioners""]",6,6,"[""Trane""]",1,2025-04-18
15 Central Park West- Amenity Space ,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Air Outlets and Inlets""]","[""Air Terminal Units""]","[""Air Outlets and Inlets"",""Air Terminal Units""]",4,5,"[""Anemostat""]",19825,2025-04-14
Los Robles Hospital & Medical Center - Mechanical/TAB Investigation,Layton,Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",5,6,"[""Twin City Fan""]",35860,2025-04-14
"Fisher Brothers - 299 Park Ave, 3rd & 4th Floor",Structure Tone (NY),Albert Weiss A/C Products (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,7,"[""PennBarry""]",12640,2025-04-14
Canell Spears,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",1,6,"[""Anemostat""]",6600,2025-04-14
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,5,"[""PennBarry""]",1900,2025-04-14
MLS 2 Penn Plaza 14th & 15th ,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Ductwork Specialties ""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Ductwork Specialties ""]",7,7,"[""Anemostat""]",132075,2025-04-14
"Garfunkel Wild - Garden City, NY",Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",33,6,"[""Anemostat""]",11350,2025-04-14
"Fisher Brothers - 299 Park Ave, 3rd & 4th Floor",Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]",5,6,"[""Anemostat""]",59875,2025-04-14
Los Robles Hospital & Medical Center - Mechanical/TAB Investigation,Layton,Mechanical Technologies LLC (New York),"[""Variable Frequency Drives""]","[""Variable Frequency Drives""]","[""Variable Frequency Drives""]",8,6,"[""ABB""]",15290,2025-04-14
MLS 2 Penn Plaza 14th & 15th ,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Electric Unit Heaters""]","[""Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",1,5,"[""Tutco""]",3570,2025-04-14
OPEN AI - Package 1 and 1A,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",7,7,"[""PennBarry""]",22090,2025-04-14
Los Robles Hospital & Medical Center - Mechanical/TAB Investigation,Layton,Mechanical Technologies LLC (New York),"[""Hydronic Piping Specialties ""]","[""Chemical Water Treatment"",""Hydronic Piping Specialties ""]","[""Chemical Water Treatment"",""Hydronic Piping Specialties ""]",4,4,"[""Patterson""]",2680,2025-04-14
Canell Spears,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,4,"[""PennBarry""]",780,2025-04-14
15 Central Park West- Amenity Space ,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,6,"[""PennBarry""]",7700,2025-04-14
OPEN AI - Package 1 and 1A,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",10,7,"[""PennBarry""]",30060,2025-04-14
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,6,"[""Anemostat""]",50000,2025-04-14
"Fisher Brothers - 299 Park Ave, 3rd & 4th Floor",Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",34,7,"[""Anemostat""]",15150,2025-04-14
Los Robles Hospital & Medical Center - Mechanical/TAB Investigation,Layton,Mechanical Technologies LLC (New York),"[""Factory-Fabricated Air-Handling Units""]","[""Factory-Fabricated Air-Handling Units""]","[""Factory-Fabricated Air-Handling Units""]",1,26,"[""TMI""]",275360,2025-04-14
"Garfunkel Wild - Garden City, NY",Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Air Coils""]","[""Air Coils""]","[""Air Coils""]",2,5,"[""Tutco""]",4870,2025-04-14
Vornado - Penn 1 GMSC  1 - Level Space,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Duct Liners""]","[""Single-Duct VAV Terminal Units""]","[""Duct Liners"",""Single-Duct VAV Terminal Units""]",1,4,"[""Tutco""]",1445,2025-04-14
255 West 34th Street,Pavarini McGovern,Albert Weiss A/C Products (New York),"[""Fan Coil Units""]","[""Fan Coil Units""]","[""Fan Coil Units""]",21,11,"[""Superior Rex""]",1569440,2025-04-14
OPEN AI - Package 1 and 1A,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",24,6,"[""Anemostat""]",75390,2025-04-14
Vornado - Penn 1 GMSC  1 - Level Space,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,6,"[""PennBarry""]",5885,2025-04-14
First Energy DCC Renovation 5th floor & Concourse Level,Structure Tone (NY),"Brooklyn Fan & Blower Sales Co., Inc.","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",4,10,"[""PennBarry""]",7140,2025-04-14
"Garfunkel Wild - Garden City, NY",Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]",2,5,"[""Arrow United""]",1125,2025-04-14
Los Robles Hospital & Medical Center - Mechanical/TAB Investigation,Layton,Mechanical Technologies LLC (New York),"[""Packaged, Outdoor, Heating-Only Makeup-Air Units""]","[""Packaged, Outdoor, Heating-Only Makeup-Air Units""]","[""Packaged, Outdoor, Heating-Only Makeup-Air Units""]",1,14,"[""TMI""]",228430,2025-04-14
Canell Spears,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,6,"[""Anemostat""]",35650,2025-04-14
"Goldman Sachs SF - 555 Cal 45,46&52",BCCI Construction,Trane (Long Island City),"[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]",4,12,"[""Trane""]",30990,2025-04-11
"Goldman Sachs SF - 555 Cal 45,46&52",BCCI Construction,Daikin Applied (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",9,20,"[""Above Air""]",509916,2025-04-11
Live Nation Comedy Clubs,BCCI Construction,Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans"",""Kitchen Hoods""]","[""HVAC Fans"",""Kitchen Hoods""]",5,8,"[""Twin City Fan""]",20750,2025-04-10
KLA - 40 Gordon Lab/Office Infrastructure,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Electric Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",6,5,"[""Indeeco""]",3078,2025-04-09
Davis Wright Tremaine LLP - 41st and 42nd Floors,Structure Tone (NY),Mechanical X Advantage,"[""Water-Source Heat Pumps""]","[""Fan Coil Units"",""Self-Contained Air Conditioners""]","[""Fan Coil Units"",""Self-Contained Air Conditioners"",""Water-Source Heat Pumps""]",5,17,"[""Enviro Tech International""]",17875,2025-04-09
Vineyard Prepurchase Package,Structure Tone (NY),Peak Measure (Utah) ,"[""Medium-Voltage Switchgear""]","[""Medium-Voltage Switchgear""]","[""Medium-Voltage Switchgear""]",2,54,"[""G&W Electric""]",237806,2025-04-09
Davis Wright Tremaine LLP - 41st and 42nd Floors,Structure Tone (NY),Gil Bar Inc (New York),"[""Water-Source Heat Pumps""]","[""Fan Coil Units"",""Self-Contained Air Conditioners""]","[""Fan Coil Units"",""Self-Contained Air Conditioners"",""Water-Source Heat Pumps""]",5,8,"[""IEC""]",18600,2025-04-09
Davis Wright Tremaine LLP - 41st and 42nd Floors,Structure Tone (NY),Gil Bar Inc (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,18,"[""Above Air""]",4520,2025-04-09
KLA - 40 Gordon Lab/Office Infrastructure,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",12,10,"[""Twin City Fan""]",159720,2025-04-09
Davis Wright Tremaine LLP - 41st and 42nd Floors,Structure Tone (NY),Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,15,"[""Stulz""]",28450,2025-04-09
Vornado - Penn 1 GMSC  1 - Level Space,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Duct Liners""]","[""Single-Duct VAV Terminal Units""]","[""Duct Liners"",""Single-Duct VAV Terminal Units""]",1,5,"[""Indeeco""]",1540,2025-04-08
"SL Green - 100 Park Ave, 26th Fl Buildout",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,6,"[""Twin City Fan""]",3800,2025-04-08
VUMC-MCJCHV 5th FL PICU Reno,Layton,Tom Barrow Company (Pensacola),"[""Radiant Heating Units""]","[""Radiant Heating Units""]","[""Radiant Heating Units""]",6,1,"[""Markel""]",5350,2025-04-07
"Goldman Sachs SF - 555 Cal 45,46&52",BCCI Construction,Mechanical X Advantage,"[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]",4,20,"[""Stulz""]",225000,2025-04-07
VUMC-MCJCHV 5th FL PICU Reno,Layton,Tom Barrow Company (Pensacola),"[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]",9,2,"[""Price""]",39955,2025-04-07
Eastern University - Gym Expansion & Eagle Learning Center,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]",2,4,"[""Krueger""]",4000,2025-04-07
"Goldman Sachs SF - 555 Cal 45,46&52",BCCI Construction,Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",9,20,"[""Stulz""]",225000,2025-04-07
Eastern University - Gym Expansion & Eagle Learning Center,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Unit Heaters""]","[""Unit Heaters""]","[""Unit Heaters""]",1,6,"[""Indeeco""]",8570,2025-04-07
"SL Green - 100 Park Ave, 26th Fl Buildout",Structure Tone (NY),"Brooklyn Fan & Blower Sales Co., Inc.","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,11,"[""PennBarry""]",5952,2025-04-07
VUMC-MCJCHV 5th FL PICU Reno,Layton,Tom Barrow Company (Pensacola),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",5,1,"[""Price""]",2890,2025-04-07
VUMC-MCJCHV 5th FL PICU Reno,Layton,Tom Barrow Company (Pensacola),"[""Humidifiers""]","[""Humidifiers""]","[""Humidifiers""]",5,2,"[""Condair""]",40685,2025-04-07
Eastern University - Gym Expansion & Eagle Learning Center,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]",2,4,"[""Krueger""]",2360,2025-04-07
Davis Wright Tremaine LLP - 41st and 42nd Floors,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",4,4,"[""Twin City Fan""]",2790,2025-04-07
Paul Weiss - 1345 AoA Project,Structure Tone (NY),"Brooklyn Fan & Blower Sales Co., Inc.","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",21,14,"[""PennBarry""]",35431,2025-04-07
"SL Green - 100 Park Ave, 26th Fl Buildout",Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",2,17,"[""Bosch - Florida Heat Pump""]",8574,2025-04-07
RedHat RTU,Structure Tone (NY),EJS,"[""Packaged Rooftop Air-Conditioning Units""]","[""Custom Packaged Rooftop AC Unit""]","[""Custom Packaged Rooftop AC Unit"",""Packaged Rooftop Air-Conditioning Units""]",1,9,"[""Valent""]",69500,2025-04-04
St. Mark's Hospital - New PET CT Project,Layton,Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners"",""Computer-Room Air-Conditioners, Ceiling Mounted Units""]","[""Computer-Room Air-Conditioners"",""Computer-Room Air-Conditioners, Ceiling Mounted Units""]",2,8,"[""Vertiv""]",31330,2025-04-04
1290 AoA - First Sentier Investors ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,6,"[""Twin City Fan""]",6400,2025-04-04
RedHat RTU,Structure Tone (NY),Carrier (New York City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Custom Packaged Rooftop AC Unit""]","[""Custom Packaged Rooftop AC Unit"",""Packaged Rooftop Air-Conditioning Units""]",1,12,"[""NexGen""]",76250,2025-04-03
Paul Weiss - 1345 AoA Project,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",49,21,"[""Bosch - Florida Heat Pump""]",148614.38,2025-04-03
DHHA New Westside Clinic and Parking Structure - DD Budget,Layton,Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",7,5,"[""Trane/Mitsubishi""]",84544,2025-04-03
1290 AoA - First Sentier Investors ,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",1,17,"[""Bosch - Florida Heat Pump""]",24905.16,2025-04-03
Davis Wright Tremaine LLP - 41st and 42nd Floors,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,9,"[""Vertiv""]",34000,2025-04-03
Vornado - Penn 1 GMSC  1 - Level Space,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]",2,11,"[""Bosch - Florida Heat Pump""]",64181.81,2025-04-03
DHHA New Westside Clinic and Parking Structure - DD Budget,Layton,Trane (Long Island City),"[""Unit Heaters""]","[""Cabinet Unit Heaters"",""Electric Unit Heaters"",""Unit Heaters""]","[""Cabinet Unit Heaters"",""Electric Unit Heaters"",""Unit Heaters""]",12,7,"[""Trane""]",1,2025-04-03
RedHat RTU,Structure Tone (NY),Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Custom Packaged Rooftop AC Unit""]","[""Custom Packaged Rooftop AC Unit"",""Packaged Rooftop Air-Conditioning Units""]",1,20,"[""Trane""]",68000,2025-04-03
St. Mark's Hospital - New PET CT Project,Layton,Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners"",""Computer-Room Air-Conditioners, Ceiling Mounted Units""]","[""Computer-Room Air-Conditioners"",""Computer-Room Air-Conditioners, Ceiling Mounted Units""]",2,17,"[""Stulz""]",30500,2025-04-02
Ronald McDonald House,Structure Tone (NY),Ascent,"[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central AHUs Modular""]","[""Indoor Central AHUs Modular"",""Indoor Central-Station Air-Handling Units""]",1,5,"[""Robatherm""]",65000,2025-04-01
Mitsui Fudosan America - 527 Madison Ave - 8th Floor,Structure Tone (NY),Gil Bar Inc (New York),"[""Electric Boilers""]","[""Electric Unit Heaters""]","[""Electric Boilers"",""Electric Unit Heaters""]",5,9,"[""Climate Master""]",5200,2025-04-01
Verizon - North Seattle MSC Project,Abbott,Trane (Long Island City),"[""Split System Air Conditioners""]","[""Fan Coil Units"",""Split System Air Conditioners""]","[""Fan Coil Units"",""Split System Air Conditioners""]",2,17,"[""Trane""]",14300,2025-04-01
Mitsui Fudosan America - 527 Madison Ave - 8th Floor,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Electric Boilers""]","[""Electric Unit Heaters""]","[""Electric Boilers"",""Electric Unit Heaters""]",5,6,"[""Indeeco""]",74770,2025-04-01
RedHat RTU,Structure Tone (NY),Critical Systems (DC),"[""Packaged Rooftop Air-Conditioning Units""]","[""Custom Packaged Rooftop AC Unit""]","[""Custom Packaged Rooftop AC Unit"",""Packaged Rooftop Air-Conditioning Units""]",1,6,"[""Infinity by Critical Systems""]",51900,2025-04-01
Spencer Stuart - 225 Franklin Mechanical/Pantry Updates,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Unit Heaters""]","[""Electric Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",5,5,"[""Indeeco""]",7580,2025-04-01
"Goldman Sachs SF - 555 Cal 45,46&52",BCCI Construction,Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",9,9,"[""Vertiv""]",375000,2025-03-31
"Fisher Brothers - 299 Park Ave, 3rd & 4th Floor",Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,7,"[""Greenheck""]",13500,2025-03-28
Verizon - North Seattle MSC Project,Abbott,Air Reps (Bellevue),"[""Air-Cooled Scroll Water Chillers""]","[""Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers"",""Scroll Water Chillers""]",4,1,"[""Daikin""]",288000,2025-03-28
"Fisher Brothers - 299 Park Ave, 3rd & 4th Floor",Structure Tone (NY),ADE Systems Inc. (New York),"[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]",5,6,"[""Titus/Price""]",0,2025-03-28
Verizon - North Seattle MSC Project,Abbott,Air Reps (Bellevue),"[""Split System Air Conditioners""]","[""Fan Coil Units"",""Split System Air Conditioners""]","[""Fan Coil Units"",""Split System Air Conditioners""]",2,1,"[""Daikin""]",26700,2025-03-28
Verizon - North Seattle MSC Project,Abbott,Johnson Barrow (Seattle) ,"[""Split System Air Conditioners""]","[""Fan Coil Units"",""Split System Air Conditioners""]","[""Fan Coil Units"",""Split System Air Conditioners""]",2,9,"[""AAON""]",46302,2025-03-28
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),ADE Systems Inc. (New York),"[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]",6,8,"[""Price/ Titus""]",0,2025-03-28
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),ADE Systems Inc. (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",3,8,"[""Titus/Price""]",55900,2025-03-28
"Fisher Brothers - 299 Park Ave, 3rd & 4th Floor",Structure Tone (NY),ADE Systems Inc. (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",34,6,"[""Titus/Price""]",50000,2025-03-28
Orlando Health-Lakeland FSED,Layton,Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,29,"[""Trane""]",567960,2025-03-28
Verizon - North Seattle MSC Project,Abbott,Air Reps (Bellevue),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,1,"[""Daikin/McQuay""]",99292,2025-03-28
Orlando Health-Lakeland FSED,Layton,Trane (Long Island City),"[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]",1,7,"[""Trane""]",1,2025-03-28
Verizon - North Seattle MSC Project,Abbott,Johnson Barrow (Seattle) ,"[""Hydronic Pumps""]","[""Hydronic Pumps""]","[""Hydronic Pumps""]",4,5,"[""Taco""]",14160,2025-03-28
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),ADE Systems Inc. (New York),"[""Unit Heaters""]","[""Electric-Resistance Air Coils""]","[""Electric-Resistance Air Coils"",""Unit Heaters""]",1,8,"[""Neptronic""]",4500,2025-03-28
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",4,7,"[""Greenheck""]",5050,2025-03-28
Verizon - North Seattle MSC Project,Abbott,Johnson Barrow (Seattle) ,"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,19,"[""AAON""]",67820,2025-03-28
Orlando Health-Lakeland FSED,Layton,Trane (Long Island City),"[""Variable Refrigerant Flow Systems""]","[""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]","[""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]",10,6,"[""Trane/Mitsubishi""]",1,2025-03-28
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),ADE Systems Inc. (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",6,5,"[""Titus/Price""]",0,2025-03-28
Revlon - 15 Nest - R&D relocation,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,7,"[""Loren Cook""]",3000,2025-03-28
Verizon - North Seattle MSC Project,Abbott,Johnson Barrow (Seattle) ,"[""Air-Cooled Scroll Water Chillers""]","[""Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers"",""Scroll Water Chillers""]",4,21,"[""Dunham Bush USA""]",259475,2025-03-28
Ronald McDonald House,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Air Terminal Units"",""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Air Terminal Units"",""Diffusers, Registers, and Grilles""]",6,4,"[""Krueger""]",15380,2025-03-27
Ronald McDonald House,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,8,"[""Twin City Fan""]",24020,2025-03-27
